Agazzano,0.019379,0.227614,0.000191,0.000111,0.000101,0.006004,0.003537,0.011674,0.027247,0.012245,0.023472,0.054296,0.023093,0.013628,0.014388,0.0176,0.001281,0.033438,0.063758,cluster2
Alseno,0.029524,0.558442,0.005029,0.006503,0.001836,0.026385,0.031389,0.019632,0.035594,0.050013,0.020437,0.018535,0.017373,0.0197,0.020052,0.042831,0.004527,0.028707,0.006711,cluster1
Besenzone,0.013219,0.44771,0.000234,0.006022,0.005193,0.059108,0.036638,0.004663,0.015111,0,0.007689,0.015264,0.022669,0.006072,0.003521,0.005169,0.000342,0.034069,0,cluster1
Bettola,0.00699,0.454545,0.001967,0.00116,0.001181,0.008893,0.005175,0.015815,0.076753,0,0.005261,0.024858,0.040466,0.042369,0.058013,0.072862,0.004186,0.047319,0.057047,cluster2
Bobbio,0.011014,0.263841,0.000563,0.000463,0.001149,0.009776,0.005518,0.014984,0.092536,0.012632,0.028531,0.086568,0.120127,0.046957,0.039186,0.0736,0.006919,0.017981,0.026846,cluster2
'Borgonovo Val Tidone',0.054916,0.218045,0.003317,0.000759,0.000718,0.009536,0.005189,0.02047,0.040391,0.020624,0.176851,0.093328,0.024576,0.026312,0.064748,0.051446,0.004869,0.061514,0.010067,cluster2
Cadeo,0.055936,0.298701,0.002573,0.023044,0.017014,0.022956,0.03992,0.008669,0.014151,0.029518,0.133752,0.025512,0.012712,0.01093,0.02097,0.060554,0.012727,0.043849,0.016779,cluster1
Calendasco,0.022886,0.181818,0.003966,0.014955,0.00831,0.072114,0.056292,0.07019,0.038329,0.000516,0,0.054732,0.021398,0.00985,0.017909,0.010215,0.000854,0.013249,0,cluster1
Caorso,0.040579,0.200273,0.002956,0.02975,0.024138,0.085719,0.062277,0.051882,0.046772,0.03867,0.001012,0.013519,0.033263,0.037512,0.031991,0.024492,0.002819,0.048265,0.033557,cluster1
'Carpaneto Piacentino',0.043121,0.388927,0.001563,0.001308,0.001319,0.021199,0.011262,0.030218,0.049986,0.037252,0.088628,0.063454,0.034746,0.02132,0.035665,0.078031,0.003588,0.061514,0.050336,cluster1
'Castell Arquato',0.030484,0.507861,0.002063,0.002209,0.004916,0.013844,0.006454,0.013273,0.045141,0.022686,0.111089,0.119058,0.05339,0.020915,0.026175,0.080492,0.007602,0.057098,0.030201,cluster2
'Castel San Giovanni',0.111635,0.203691,0.021348,0.035871,0.002602,0.025058,0.030942,0.025938,0.101075,0.068832,0.067989,0.055604,0.036653,0.064904,0.091535,0.091938,0.012984,0.153312,0.147651,cluster4
'Castelvetro Piacentino',0.053766,0.174299,0.002583,0.034427,0.029709,0.086518,0.053569,0.046088,0.046915,0.008765,0.071024,0.03249,0.038136,0.039941,0.037349,0.012923,0.000513,0.073817,0.067114,cluster1
Cerignale,0.000289,0.297334,0,0,0.000011,0.002533,0.001485,0.004902,0.009738,0.002578,0.024484,0.033799,0.012924,0.006342,0.003674,0.011077,0.000598,0.009464,0.006711,cluster2
Coli,0.003245,0.311005,0.0005,0.000432,0.000787,0.002553,0.001486,0.004521,0.036746,0.019979,0.023675,0.050153,0.044068,0.017811,0.01944,0.048738,0.003075,0.027129,0.003356,cluster2
'Corte Brugnatella',0.00337,0.2946,0.000819,0.000475,0.00058,0.004332,0.00263,0.008682,0.020627,0.005543,0.027722,0.018099,0.010805,0.01039,0.014388,0.025846,0.002306,0.037224,0.030201,cluster2
Cortemaggiore,0.045176,0.322625,0.002669,0.027492,0.022787,0.061598,0.0558,0.026464,0.046436,0.012245,0.020842,0.086786,0.022246,0.024828,0.023113,0.051938,0.003758,0.02429,0.036913,cluster1
Farini,0.002698,0.607656,0.000393,0.000228,0.000255,0.005103,0.002696,0.008899,0.046244,0.000773,0.164306,0.200392,0.067161,0.016327,0.024797,0.074708,0.004869,0.062145,0.147651,cluster2
