Morfasso,0.00303,0.613807,0.001148,0.000336,0.000403,0.003045,0.003039,0.010129,0.141858,0.039232,0.005618,0.074874,0.469714,0.175,0.063261,0.182762,0.036873,0.14026,0.716895,cluster5
Ottone,0.000654,0.320574,0.00328,0.000961,0.004752,0.005282,0.004714,0.015712,0.170987,0.00182,0.000864,0.388769,0.411429,0.068284,0.011246,0.117962,0.026549,0.075974,0.018265,cluster1
'Pianello Val Tidone',0.021071,0.228298,0.016976,0.004973,0.03885,0.008988,0.006025,0.02008,0.09598,0.037614,0.021175,0.175666,0.235429,0.036567,0.050141,0.126455,0.056785,0.087013,0.114155,cluster1
Piozzano,0.004015,0.238551,0.002214,0.000649,0.002592,0.003115,0.002679,0.008928,0.056073,0.019211,0.000432,0.073434,0.141714,0.020896,0.030459,0.048128,0.001475,0.055844,0.004566,cluster1
Podenzano,0.073328,0.255639,0.003936,0.000312,0.004003,0.023838,0.004799,0.012476,0.106321,0.180182,0.041487,0.165587,0.117714,0.068284,0.149016,0.115445,0.042773,0.053247,0,cluster1
'Ponte dell Olio',0.037423,0.30622,0.003444,0.00173,0.013248,0.013762,0.008766,0.025943,0.075736,0.032154,0.419188,0.2527,0.245714,0.064179,0.12746,0.150676,0.070796,0.131818,0.045662,cluster1
Pontenure,0.068185,0.246753,0.001722,0.038749,0.002736,0.014388,0.053311,0.015456,0.097582,0.029727,0.105877,0.066955,0.066286,0.04291,0.109185,0.144385,0.062684,0.075325,0.100457,cluster1
Rivergaro,0.057067,0.260424,0.012465,0.002114,0.005645,0.009775,0.009164,0.022538,0.082872,0.287159,0.053587,0.164147,0.129143,0.048134,0.118557,0.229003,0.096608,0.157792,0.03653,cluster1
Rottofreno,0.124332,0.198906,0.005577,0.052874,0.055352,0.046861,0.069404,0.066523,0.177687,0.033569,0.15255,0.084233,0.115429,0.061194,0.137769,0.182762,0.105457,0.153896,0.077626,cluster1
'San Giorgio Piacentino',0.040492,0.297334,0.004838,0.002258,0.034502,0.026961,0.013762,0.031365,0.156423,0.051769,0.04408,0.146148,0.224,0.060075,0.078257,0.101604,0.023599,0.114935,0.041096,cluster1
'San Pietro in Cerro',0.009874,0.252905,0.020256,0.022245,0.021484,0.067573,0.087741,0.063201,0.049228,0.000607,0.000864,0.12167,0.060571,0.006716,0.008435,0,0,0.103247,0.004566,cluster1
Sarmato,0.03654,0.203008,0.00328,0.059553,0.000605,0.037511,0.057958,0.084489,0.0418,0.025683,0.187122,0.046076,0.046857,0.018284,0.045455,0.056622,0.011799,0.064286,0.041096,cluster1
Travo,0.008302,0.266576,0.004346,0.00173,0.003715,0.015388,0.014462,0.042585,0.126857,0.093023,0.085134,0.139669,0.548571,0.105597,0.092784,0.135577,0.031711,0.105195,0.068493,cluster1
Vernasca,0.009194,0.576213,0.002706,0.000793,0.002822,0.013223,0.009562,0.031561,0.219924,0.029727,0.032844,0.293737,0.294857,0.104851,0.109185,0.095313,0.017699,0.215584,0.26484,cluster0
Vigolzone,0.035736,0.270677,0.003772,0.001561,0.005472,0.018361,0.011874,0.03242,0.094378,0.101517,0.028954,0.191505,0.132571,0.045149,0.074508,0.112299,0.051622,0.115584,0.041096,cluster1
'Villanova sull Arda',0.015913,0.30622,0.008857,0.046484,0.055756,0.117517,0.117281,0.083311,0.059569,0.010516,0.044944,0.066235,0.126857,0.017164,0.040769,0.041837,0.00885,0,0.059361,cluster1
Zerba,0,0.253589,0,0,0,0.002085,0.002061,0.00687,0.0552,0.000809,0.001296,0.12959,0.069714,0.026866,0.002343,0.02548,0.001475,0.02013,0.004566,cluster1
'Ziano Piacentino',0.02669,0.217362,0,0,0,0.001389,0.001316,0.004386,0.196767,0.001618,0.105445,0.319654,0.406857,0.104478,0.094189,0.205411,0.053835,0.203247,0.118721,cluster1
'Alta Val Tidone',0.009775,0.219412,0.014515,0.004612,0.027993,0.013736,0.009664,0.032084,0.382901,0.026289,0.062662,0.566595,0.676571,0.207836,0.179007,0.381881,0.054572,0.227922,0.388128,cluster6
Albareto,0.00634,0.933698,0.015253,0.005958,0.010656,0.019197,0.015166,0.044969,0.161375,0.084732,0.011668,0.141109,0.429714,0.095522,0.101218,0.106952,0.019174,0.151299,0.123288,cluster4
Bardi,0.002982,0.909774,0.002214,0.000745,0.002678,0.015271,0.013518,0.036979,0.206379,0.000809,0.302506,0.520518,0.994286,0.087687,0.057638,0.212645,0.053835,0.146753,1,cluster5
Bedonia,0.005993,0.885167,0.013449,0.005717,0.02183,0.013117,0.010008,0.029806,0.215264,0.005258,0.420916,0.403888,0.761143,0.175373,0.17104,0.18056,0.063422,0.27013,0.287671,cluster5
Berceto,0.004392,0.931647,0.007053,0.002282,0.005789,0.010476,0.009014,0.024963,0.15118,0.012538,0.268799,0.62851,0.296,0.068284,0.045455,0.206983,0.09292,0.187013,0.383562,cluster5
Bore,0.004877,0.630895,0.000082,0.000024,0.000029,0.001979,0.001735,0.005624,0.020973,0.011729,0.283924,0.053996,0.224,0.048881,0.045455,0.092796,0.018437,0.09026,0.105023,cluster0
'Borgo Val di Taro',0.015313,0.9419,0.105462,0.0332,0.08922,0.015308,0.012929,0.033478,0.268278,0.010313,0.212187,0.334053,0.403429,0.067164,0.182755,0.20604,0.122419,0.287662,0.292237,cluster5
Busseto,0.031565,0.537936,0.106446,0.169193,0.084613,0.120146,0.24575,0.327627,0.206962,0.057634,0.004754,0.204464,0.245714,0.076119,0.130272,0.206669,0.065634,0.162987,0.182648,cluster2
Calestano,0.012366,0.674641,0.006643,0.00466,0.025862,0.008987,0.006578,0.019586,0.084183,0.028311,0.098963,0.311735,0.186286,0.015672,0.025773,0.148474,0.05826,0.02987,0.018265,cluster0
Collecchio,0.088676,0.62406,0.009677,0.005045,0.018,0.04328,0.026652,0.062541,0.232304,0.056623,0.10847,0.225342,0.195429,0.05709,0.19119,0.319597,0.20649,0.119481,0.077626,cluster0
Colorno,0.066405,0.209159,0.055601,0.213419,0.25689,0.155575,0.155165,0.126058,0.178707,0.078868,0.00605,0.329014,0.198857,0.058582,0.125586,0.183706,0.113569,0.185065,0.127854,cluster1
Compiano,0.009364,0.91866,0.000738,0.000432,0.005645,0.004079,0.002614,0.006117,0.068453,0.050758,0.003025,0.228942,0.166857,0.010448,0.042174,0.05788,0.011799,0.088312,0.196347,cluster4
Corniglio,0.002908,0.949419,0.001312,0.00048,0.000893,0.011708,0.010951,0.03396,0.311681,0.000202,0.014693,0.451404,0.427429,0.102239,0.106842,0.158226,0.022124,0.131818,0.082192,cluster5
Felino,0.08241,0.628161,0.012383,0.006414,0.020332,0.012444,0.005633,0.01656,0.104865,0.014965,0.33535,0.275738,0.227429,0.043657,0.084817,0.231205,0.151917,0.138961,0.086758,cluster0
Fidenza,0.10097,0.614491,0.239872,0.124607,0.1516,0.081485,0.155922,0.144466,0.154821,0.607685,0.024633,0.221742,0.394286,0.336567,0.518276,0.520604,0.424041,0.25,0.109589,cluster7
Fontanellato,0.045909,0.57553,0.102427,0.167031,0.015667,0.04307,0.173078,0.128028,0.133557,0.067543,0.092048,0.261339,0.244571,0.060448,0.092784,0.224913,0.09882,0.138961,0.232877,cluster0
Fontevivo,0.076823,0.559809,0.033049,0.130132,0.049564,0.030608,0.082983,0.033581,0.096708,0.062892,0.021608,0.12023,0.090286,0.034328,0.089503,0.103492,0.056047,0.074026,0.050228,cluster0
'Fornovo di Taro',0.036541,0.639098,0.033213,0.022966,0.03551,0.022128,0.020616,0.053101,0.09365,0.050758,0.119706,0.143269,0.216,0.065299,0.079663,0.122051,0.152655,0.165584,0.086758,cluster0
Langhirano,0.051587,0.643882,0.006151,0.007447,0.112865,0.019545,0.011967,0.026714,0.217448,0.10819,0.210458,0.390209,0.318857,0.073881,0.239925,0.34319,0.153392,0.150649,0.178082,cluster5
'Lesignano de  Bagni',0.036911,0.632946,0.008283,0.00884,0.018057,0.02045,0.015798,0.038113,0.105301,0.094034,0.105877,0.237581,0.094857,0.048507,0.110122,0.11167,0.019912,0.134416,0.013699,cluster0
Medesano,0.042987,0.626111,0.009267,0.004276,0.095211,0.053996,0.025063,0.075512,0.220507,0.103539,0.109334,0.2527,0.225143,0.08209,0.130272,0.319283,0.175516,0.244805,0.210046,cluster0
