Morfasso,0.00303,0.613807,0.001148,0.000208,0.000217,0.003045,0.003039,0.010129,0.141858,0.039232,0.005618,0.06326,0.325158,0.175,0.05355,0.131836,0.030921,0.14026,0.716895,cluster2
Ottone,0.000654,0.320574,0.00328,0.000595,0.002561,0.005282,0.004714,0.015712,0.170987,0.00182,0.000864,0.328467,0.28481,0.068284,0.00952,0.085092,0.022263,0.075974,0.018265,cluster2
'Pianello Val Tidone',0.021071,0.228298,0.016976,0.003077,0.020938,0.008988,0.006025,0.02008,0.09598,0.037614,0.021175,0.148418,0.162975,0.036567,0.042443,0.091219,0.047619,0.087013,0.114155,cluster1
Piozzano,0.004015,0.238551,0.002214,0.000401,0.001397,0.003115,0.002679,0.008928,0.056073,0.019211,0.000432,0.062044,0.098101,0.020896,0.025783,0.034717,0.001237,0.055844,0.004566,cluster2
Podenzano,0.073328,0.255639,0.003936,0.000193,0.002157,0.023838,0.004799,0.012476,0.106321,0.180182,0.041487,0.139903,0.081487,0.068284,0.12614,0.083277,0.035869,0.053247,0,cluster1
'Ponte dell Olio',0.037423,0.30622,0.003444,0.00107,0.00714,0.013762,0.008766,0.025943,0.075736,0.032154,0.419188,0.213504,0.170095,0.064179,0.107894,0.108691,0.059369,0.131818,0.045662,cluster1
Pontenure,0.068185,0.246753,0.001722,0.023979,0.001475,0.014388,0.053311,0.015456,0.097582,0.029727,0.105877,0.056569,0.045886,0.04291,0.092424,0.104152,0.052566,0.075325,0.100457,cluster1
Rivergaro,0.057067,0.260424,0.012465,0.001308,0.003042,0.009775,0.009164,0.022538,0.082872,0.287159,0.053587,0.138686,0.089399,0.048134,0.100357,0.165192,0.081014,0.157792,0.03653,cluster1
Rottofreno,0.124332,0.198906,0.005577,0.03272,0.029832,0.046861,0.069404,0.066523,0.177687,0.033569,0.15255,0.071168,0.079905,0.061194,0.11662,0.131836,0.088435,0.153896,0.077626,cluster1
'San Giorgio Piacentino',0.040492,0.297334,0.004838,0.001397,0.018594,0.026961,0.013762,0.031365,0.156423,0.051769,0.04408,0.123479,0.155063,0.060075,0.066244,0.073292,0.01979,0.114935,0.041096,cluster1
'San Pietro in Cerro',0.009874,0.252905,0.020256,0.013766,0.011579,0.067573,0.087741,0.063201,0.049228,0.000607,0.000864,0.102798,0.04193,0.006716,0.00714,0,0,0.103247,0.004566,cluster0
Sarmato,0.03654,0.203008,0.00328,0.036853,0.000326,0.037511,0.057958,0.084489,0.0418,0.025683,0.187122,0.038929,0.032437,0.018284,0.038477,0.040844,0.009895,0.064286,0.041096,cluster0
Travo,0.008302,0.266576,0.004346,0.00107,0.002002,0.015388,0.014462,0.042585,0.126857,0.093023,0.085134,0.118005,0.379747,0.105597,0.07854,0.097799,0.026592,0.105195,0.068493,cluster2
Vernasca,0.009194,0.576213,0.002706,0.000491,0.001521,0.013223,0.009562,0.031561,0.219924,0.029727,0.032844,0.248175,0.204114,0.104851,0.092424,0.068754,0.014842,0.215584,0.26484,cluster2
Vigolzone,0.035736,0.270677,0.003772,0.000966,0.002949,0.018361,0.011874,0.03242,0.094378,0.101517,0.028954,0.1618,0.091772,0.045149,0.06307,0.081007,0.04329,0.115584,0.041096,cluster1
'Villanova sull Arda',0.015913,0.30622,0.008857,0.028766,0.030049,0.117517,0.117281,0.083311,0.059569,0.010516,0.044944,0.055961,0.087816,0.017164,0.03451,0.030179,0.007421,0,0.059361,cluster0
Zerba,0,0.253589,0,0,0,0.002085,0.002061,0.00687,0.0552,0.000809,0.001296,0.109489,0.048259,0.026866,0.001983,0.01838,0.001237,0.02013,0.004566,cluster2
'Ziano Piacentino',0.02669,0.217362,0,0,0,0.001389,0.001316,0.004386,0.196767,0.001618,0.105445,0.270073,0.281646,0.104478,0.07973,0.148173,0.045145,0.203247,0.118721,cluster2
'Alta Val Tidone',0.009775,0.219412,0.014515,0.002854,0.015087,0.013736,0.009664,0.032084,0.382901,0.026289,0.062662,0.47871,0.468354,0.207836,0.151527,0.275471,0.045764,0.227922,0.388128,cluster5
Albareto,0.00634,0.933698,0.015253,0.003687,0.005743,0.019197,0.015166,0.044969,0.161375,0.084732,0.011668,0.119221,0.297468,0.095522,0.08568,0.07715,0.016079,0.151299,0.123288,cluster1
Bardi,0.002982,0.909774,0.002214,0.000461,0.001443,0.015271,0.013518,0.036979,0.206379,0.000809,0.302506,0.439781,0.688291,0.087687,0.04879,0.153392,0.045145,0.146753,1,cluster2
Bedonia,0.005993,0.885167,0.013449,0.003538,0.011765,0.013117,0.010008,0.029806,0.215264,0.005258,0.420916,0.341241,0.526899,0.175373,0.144784,0.130247,0.053185,0.27013,0.287671,cluster5
Berceto,0.004392,0.931647,0.007053,0.001412,0.00312,0.010476,0.009014,0.024963,0.15118,0.012538,0.268799,0.531022,0.204905,0.068284,0.038477,0.149308,0.077922,0.187013,0.383562,cluster2
Bore,0.004877,0.630895,0.000082,0.000015,0.000016,0.001979,0.001735,0.005624,0.020973,0.011729,0.283924,0.04562,0.155063,0.048881,0.038477,0.066939,0.015461,0.09026,0.105023,cluster2
'Borgo Val di Taro',0.015313,0.9419,0.105462,0.020545,0.048085,0.015308,0.012929,0.033478,0.268278,0.010313,0.212187,0.282238,0.279272,0.067164,0.154701,0.148627,0.102659,0.287662,0.292237,cluster5
Busseto,0.031565,0.537936,0.106446,0.104701,0.045601,0.120146,0.24575,0.327627,0.206962,0.057634,0.004754,0.172749,0.170095,0.076119,0.110274,0.149081,0.05504,0.162987,0.182648,cluster4
Calestano,0.012366,0.674641,0.006643,0.002884,0.013938,0.008987,0.006578,0.019586,0.084183,0.028311,0.098963,0.263382,0.128956,0.015672,0.021817,0.107102,0.048856,0.02987,0.018265,cluster1
Collecchio,0.088676,0.62406,0.009677,0.003122,0.009701,0.04328,0.026652,0.062541,0.232304,0.056623,0.10847,0.190389,0.135285,0.05709,0.161841,0.230542,0.17316,0.119481,0.077626,cluster1
Colorno,0.066405,0.209159,0.055601,0.132069,0.138449,0.155575,0.155165,0.126058,0.178707,0.078868,0.00605,0.277981,0.137658,0.058582,0.106307,0.132516,0.095238,0.185065,0.127854,cluster4
Compiano,0.009364,0.91866,0.000738,0.000268,0.003042,0.004079,0.002614,0.006117,0.068453,0.050758,0.003025,0.193431,0.115506,0.010448,0.0357,0.041752,0.009895,0.088312,0.196347,cluster2
Corniglio,0.002908,0.949419,0.001312,0.000297,0.000481,0.011708,0.010951,0.03396,0.311681,0.000202,0.014693,0.381387,0.295886,0.102239,0.09044,0.114137,0.018553,0.131818,0.082192,cluster2
Felino,0.08241,0.628161,0.012383,0.003969,0.010958,0.012444,0.005633,0.01656,0.104865,0.014965,0.33535,0.232968,0.157437,0.043657,0.071797,0.16678,0.127396,0.138961,0.086758,cluster1
Fidenza,0.10097,0.614491,0.239872,0.077109,0.081704,0.081485,0.155922,0.144466,0.154821,0.607685,0.024633,0.187348,0.272943,0.336567,0.438715,0.375539,0.355597,0.25,0.109589,cluster3
Fontanellato,0.045909,0.57553,0.102427,0.103363,0.008444,0.04307,0.173078,0.128028,0.133557,0.067543,0.092048,0.220803,0.169304,0.060448,0.07854,0.162242,0.08287,0.138961,0.232877,cluster4
Fontevivo,0.076823,0.559809,0.033049,0.080529,0.026712,0.030608,0.082983,0.033581,0.096708,0.062892,0.021608,0.101582,0.0625,0.034328,0.075764,0.074654,0.047001,0.074026,0.050228,cluster0
'Fornovo di Taro',0.036541,0.639098,0.033213,0.014212,0.019138,0.022128,0.020616,0.053101,0.09365,0.050758,0.119706,0.121046,0.149525,0.065299,0.067434,0.088042,0.128015,0.165584,0.086758,cluster1
Langhirano,0.051587,0.643882,0.006151,0.004608,0.060828,0.019545,0.011967,0.026714,0.217448,0.10819,0.210458,0.329684,0.220728,0.073881,0.203094,0.247561,0.128633,0.150649,0.178082,cluster1
'Lesignano de  Bagni',0.036911,0.632946,0.008283,0.005471,0.009732,0.02045,0.015798,0.038113,0.105301,0.094034,0.105877,0.20073,0.065665,0.048507,0.093217,0.080554,0.016698,0.134416,0.013699,cluster1
Medesano,0.042987,0.626111,0.009267,0.002646,0.051313,0.053996,0.025063,0.075512,0.220507,0.103539,0.109334,0.213504,0.155854,0.08209,0.110274,0.230315,0.147186,0.244805,0.210046,cluster1
Mezzani,0.040876,0.222146,0.035181,0.050247,0.052493,0.08883,0.08864,0.199111,0.102971,0.03822,0.043215,0.164842,0.131329,0.071269,0.040857,0.026095,0.006803,0.144805,0.159817,cluster0
'Monchio delle Corti',0.003518,0.948735,0.000246,0.000045,0.000109,0.001319,0.001025,0.003371,0.088552,0.00728,0.229473,0.190389,0.261076,0.058209,0.02499,0.039936,0.009895,0.129221,0.068493,cluster2
Montechiarugolo,0.081079,0.621326,0.008775,0.003702,0.040929,0.042122,0.020377,0.045363,0.148704,0.115875,0.14261,0.18674,0.144778,0.056716,0.137247,0.151123,0.081633,0.125325,0.063927,cluster1
'Neviano degli Arduini',0.011141,0.656186,0.003526,0.000699,0.000993,0.01092,0.009495,0.026368,0.35785,0.001213,0.012965,0.478102,0.22943,0.074254,0.090044,0.210347,0.050093,0.148052,0.045662,cluster2
Noceto,0.058111,0.620643,0.640315,0.117738,0.021155,0.02975,0.05246,0.162953,0.133702,0.063498,0.490925,0.240268,0.303006,0.107836,0.13804,0.217608,0.193568,0.181169,0.050228,cluster4
